,mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car_name
0,18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1.0,chevrolet chevelle malibu
1,15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1.0,buick skylark 320
2,18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1.0,plymouth satellite
3,16.0,8.0,304.0,150.0,3433.0,12.0,70.0,1.0,amc rebel sst
4,17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1.0,ford torino
5,15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1.0,ford galaxie 500
6,14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1.0,chevrolet impala
7,14.0,8.0,440.0,215.0,4312.0,8.5,70.0,1.0,plymouth fury iii
8,14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1.0,pontiac catalina
9,15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1.0,amc ambassador dpl
10,,4.0,133.0,115.0,3090.0,17.5,70.0,2.0,citroen ds-21 pallas
11,,8.0,350.0,165.0,4142.0,11.5,70.0,1.0,chevrolet chevelle concours (sw)
12,,8.0,351.0,153.0,4034.0,11.0,70.0,1.0,ford torino (sw)
13,,8.0,383.0,175.0,4166.0,10.5,70.0,1.0,plymouth satellite (sw)
14,,8.0,360.0,175.0,3850.0,11.0,70.0,1.0,amc rebel sst (sw)
15,15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1.0,dodge challenger se
16,14.0,8.0,340.0,160.0,3609.0,8.0,70.0,1.0,plymouth 'cuda 340
17,,8.0,302.0,140.0,3353.0,8.0,70.0,1.0,ford mustang boss 302
18,15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1.0,chevrolet monte carlo
19,14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1.0,buick estate wagon (sw)
20,24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3.0,toyota corona mark ii
21,22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1.0,plymouth duster
22,18.0,6.0,199.0,97.0,2774.0,15.5,70.0,1.0,amc hornet
23,21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1.0,ford maverick
24,27.0,4.0,97.0,88.0,2130.0,14.5,70.0,3.0,datsun pl510
25,26.0,4.0,97.0,46.0,1835.0,20.5,70.0,2.0,volkswagen 1131 deluxe sedan
26,25.0,4.0,110.0,87.0,2672.0,17.5,70.0,2.0,peugeot 504
27,24.0,4.0,107.0,90.0,2430.0,14.5,70.0,2.0,audi 100 ls
28,25.0,4.0,104.0,95.0,2375.0,17.5,70.0,2.0,saab 99e
29,26.0,4.0,121.0,113.0,2234.0,12.5,70.0,2.0,bmw 2002
30,21.0,6.0,199.0,90.0,2648.0,15.0,70.0,1.0,amc gremlin
31,10.0,8.0,360.0,215.0,4615.0,14.0,70.0,1.0,ford f250
32,10.0,8.0,307.0,200.0,4376.0,15.0,70.0,1.0,chevy c20
33,11.0,8.0,318.0,210.0,4382.0,13.5,70.0,1.0,dodge d200
34,9.0,8.0,304.0,193.0,4732.0,18.5,70.0,1.0,hi 1200d
35,27.0,4.0,97.0,88.0,2130.0,14.5,71.0,3.0,datsun pl510
36,28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1.0,chevrolet vega 2300
37,25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3.0,toyota corona
38,25.0,4.0,98.0,,2046.0,19.0,71.0,1.0,ford pinto
39,,4.0,97.0,48.0,1978.0,20.0,71.0,2.0,volkswagen super beetle 117
40,19.0,6.0,232.0,100.0,2634.0,13.0,71.0,1.0,amc gremlin
41,16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1.0,plymouth satellite custom
42,17.0,6.0,250.0,100.0,3329.0,15.5,71.0,1.0,chevrolet chevelle malibu
43,19.0,6.0,250.0,88.0,3302.0,15.5,71.0,1.0,ford torino 500
44,18.0,6.0,232.0,100.0,3288.0,15.5,71.0,1.0,amc matador
45,14.0,8.0,350.0,165.0,4209.0,12.0,71.0,1.0,chevrolet impala
46,14.0,8.0,400.0,175.0,4464.0,11.5,71.0,1.0,pontiac catalina brougham
47,14.0,8.0,351.0,153.0,4154.0,13.5,71.0,1.0,ford galaxie 500
48,14.0,8.0,318.0,150.0,4096.0,13.0,71.0,1.0,plymouth fury iii
49,12.0,8.0,383.0,180.0,4955.0,11.5,71.0,1.0,dodge monaco (sw)
50,13.0,8.0,400.0,170.0,4746.0,12.0,71.0,1.0,ford country squire (sw)
51,13.0,8.0,400.0,175.0,5140.0,12.0,71.0,1.0,pontiac safari (sw)
52,18.0,6.0,258.0,110.0,2962.0,13.5,71.0,1.0,amc hornet sportabout (sw)
53,22.0,4.0,140.0,72.0,2408.0,19.0,71.0,1.0,chevrolet vega (sw)
54,19.0,6.0,250.0,100.0,3282.0,15.0,71.0,1.0,pontiac firebird
55,18.0,6.0,250.0,88.0,3139.0,14.5,71.0,1.0,ford mustang
56,23.0,4.0,122.0,86.0,2220.0,14.0,71.0,1.0,mercury capri 2000
57,28.0,4.0,116.0,90.0,2123.0,14.0,71.0,2.0,opel 1900
58,30.0,4.0,79.0,70.0,2074.0,19.5,71.0,2.0,peugeot 304
59,30.0,4.0,88.0,76.0,2065.0,14.5,71.0,2.0,fiat 124b
60,31.0,4.0,71.0,65.0,1773.0,19.0,71.0,3.0,toyota corolla 1200
61,35.0,4.0,72.0,69.0,1613.0,18.0,71.0,3.0,datsun 1200
62,27.0,4.0,97.0,60.0,1834.0,19.0,71.0,2.0,volkswagen model 111
63,26.0,4.0,91.0,70.0,1955.0,20.5,71.0,1.0,plymouth cricket
64,24.0,4.0,113.0,95.0,2278.0,15.5,72.0,3.0,toyota corona hardtop
65,25.0,4.0,97.5,80.0,2126.0,17.0,72.0,1.0,dodge colt hardtop
66,23.0,4.0,97.0,54.0,2254.0,23.5,72.0,2.0,volkswagen type 3
67,20.0,4.0,140.0,90.0,2408.0,19.5,72.0,1.0,chevrolet vega
68,21.0,4.0,122.0,86.0,2226.0,16.5,72.0,1.0,ford pinto runabout
69,13.0,8.0,350.0,165.0,4274.0,12.0,72.0,1.0,chevrolet impala
70,14.0,8.0,400.0,175.0,4385.0,12.0,72.0,1.0,pontiac catalina
71,15.0,8.0,318.0,150.0,4135.0,13.5,72.0,1.0,plymouth fury iii
72,14.0,8.0,351.0,153.0,4129.0,13.0,72.0,1.0,ford galaxie 500
73,17.0,8.0,304.0,150.0,3672.0,11.5,72.0,1.0,amc ambassador sst
74,11.0,8.0,429.0,208.0,4633.0,11.0,72.0,1.0,mercury marquis
75,13.0,8.0,350.0,155.0,4502.0,13.5,72.0,1.0,buick lesabre custom
76,12.0,8.0,350.0,160.0,4456.0,13.5,72.0,1.0,oldsmobile delta 88 royale
77,13.0,8.0,400.0,190.0,4422.0,12.5,72.0,1.0,chrysler newport royal
78,19.0,3.0,70.0,97.0,2330.0,13.5,72.0,3.0,mazda rx2 coupe
79,15.0,8.0,304.0,150.0,3892.0,12.5,72.0,1.0,amc matador (sw)
80,13.0,8.0,307.0,130.0,4098.0,14.0,72.0,1.0,chevrolet chevelle concours (sw)
81,13.0,8.0,302.0,140.0,4294.0,16.0,72.0,1.0,ford gran torino (sw)
82,14.0,8.0,318.0,150.0,4077.0,14.0,72.0,1.0,plymouth satellite custom (sw)
83,18.0,4.0,121.0,112.0,2933.0,14.5,72.0,2.0,volvo 145e (sw)
84,22.0,4.0,121.0,76.0,2511.0,18.0,72.0,2.0,volkswagen 411 (sw)
85,21.0,4.0,120.0,87.0,2979.0,19.5,72.0,2.0,peugeot 504 (sw)
86,26.0,4.0,96.0,69.0,2189.0,18.0,72.0,2.0,renault 12 (sw)
87,22.0,4.0,122.0,86.0,2395.0,16.0,72.0,1.0,ford pinto (sw)
88,28.0,4.0,97.0,92.0,2288.0,17.0,72.0,3.0,datsun 510 (sw)
89,23.0,4.0,120.0,97.0,2506.0,14.5,72.0,3.0,toyouta corona mark ii (sw)
90,28.0,4.0,98.0,80.0,2164.0,15.0,72.0,1.0,dodge colt (sw)
91,27.0,4.0,97.0,88.0,2100.0,16.5,72.0,3.0,toyota corolla 1600 (sw)
92,13.0,8.0,350.0,175.0,4100.0,13.0,73.0,1.0,buick century 350
93,14.0,8.0,304.0,150.0,3672.0,11.5,73.0,1.0,amc matador
94,13.0,8.0,350.0,145.0,3988.0,13.0,73.0,1.0,chevrolet malibu
95,14.0,8.0,302.0,137.0,4042.0,14.5,73.0,1.0,ford gran torino
96,15.0,8.0,318.0,150.0,3777.0,12.5,73.0,1.0,dodge coronet custom
97,12.0,8.0,429.0,198.0,4952.0,11.5,73.0,1.0,mercury marquis brougham
98,13.0,8.0,400.0,150.0,4464.0,12.0,73.0,1.0,chevrolet caprice classic
99,13.0,8.0,351.0,158.0,4363.0,13.0,73.0,1.0,ford ltd
100,14.0,8.0,318.0,150.0,4237.0,14.5,73.0,1.0,plymouth fury gran sedan
101,13.0,8.0,440.0,215.0,4735.0,11.0,73.0,1.0,chrysler new yorker brougham
102,12.0,8.0,455.0,225.0,4951.0,11.0,73.0,1.0,buick electra 225 custom
103,13.0,8.0,360.0,175.0,3821.0,11.0,73.0,1.0,amc ambassador brougham
104,18.0,6.0,225.0,105.0,3121.0,16.5,73.0,1.0,plymouth valiant
105,16.0,6.0,250.0,100.0,3278.0,18.0,73.0,1.0,chevrolet nova custom
106,18.0,6.0,232.0,100.0,2945.0,16.0,73.0,1.0,amc hornet
107,18.0,6.0,250.0,88.0,3021.0,16.5,73.0,1.0,ford maverick
108,23.0,6.0,198.0,95.0,2904.0,16.0,73.0,1.0,plymouth duster
109,26.0,4.0,97.0,46.0,1950.0,21.0,73.0,2.0,volkswagen super beetle
110,11.0,8.0,400.0,150.0,4997.0,14.0,73.0,1.0,chevrolet impala
111,12.0,8.0,400.0,167.0,4906.0,12.5,73.0,1.0,ford country
112,13.0,8.0,360.0,170.0,4654.0,13.0,73.0,1.0,plymouth custom suburb
113,12.0,8.0,350.0,180.0,4499.0,12.5,73.0,1.0,oldsmobile vista cruiser
114,18.0,6.0,232.0,100.0,2789.0,15.0,73.0,1.0,amc gremlin
115,20.0,4.0,97.0,88.0,2279.0,19.0,73.0,3.0,toyota carina
116,21.0,4.0,140.0,72.0,2401.0,19.5,73.0,1.0,chevrolet vega
117,22.0,4.0,108.0,94.0,2379.0,16.5,73.0,3.0,datsun 610
118,18.0,3.0,70.0,90.0,2124.0,13.5,73.0,3.0,maxda rx3
119,19.0,4.0,122.0,85.0,2310.0,18.5,73.0,1.0,ford pinto
120,21.0,6.0,155.0,107.0,2472.0,14.0,73.0,1.0,mercury capri v6
121,26.0,4.0,98.0,90.0,2265.0,15.5,73.0,2.0,fiat 124 sport coupe
122,15.0,8.0,350.0,145.0,4082.0,13.0,73.0,1.0,chevrolet monte carlo s
123,16.0,8.0,400.0,230.0,4278.0,9.5,73.0,1.0,pontiac grand prix
124,29.0,4.0,68.0,49.0,1867.0,19.5,73.0,2.0,fiat 128
125,24.0,4.0,116.0,75.0,2158.0,15.5,73.0,2.0,opel manta
126,20.0,4.0,114.0,91.0,2582.0,14.0,73.0,2.0,audi 100ls
127,19.0,4.0,121.0,112.0,2868.0,15.5,73.0,2.0,volvo 144ea
128,15.0,8.0,318.0,150.0,3399.0,11.0,73.0,1.0,dodge dart custom
129,24.0,4.0,121.0,110.0,2660.0,14.0,73.0,2.0,saab 99le
130,20.0,6.0,156.0,122.0,2807.0,13.5,73.0,3.0,toyota mark ii
131,11.0,8.0,350.0,180.0,3664.0,11.0,73.0,1.0,oldsmobile omega
132,20.0,6.0,198.0,95.0,3102.0,16.5,74.0,1.0,plymouth duster
133,21.0,6.0,200.0,,2875.0,17.0,74.0,1.0,ford maverick
134,19.0,6.0,232.0,100.0,2901.0,16.0,74.0,1.0,amc hornet
135,15.0,6.0,250.0,100.0,3336.0,17.0,74.0,1.0,chevrolet nova
136,31.0,4.0,79.0,67.0,1950.0,19.0,74.0,3.0,datsun b210
137,26.0,4.0,122.0,80.0,2451.0,16.5,74.0,1.0,ford pinto
138,32.0,4.0,71.0,65.0,1836.0,21.0,74.0,3.0,toyota corolla 1200
139,25.0,4.0,140.0,75.0,2542.0,17.0,74.0,1.0,chevrolet vega
140,16.0,6.0,250.0,100.0,3781.0,17.0,74.0,1.0,chevrolet chevelle malibu classic
141,16.0,6.0,258.0,110.0,3632.0,18.0,74.0,1.0,amc matador
142,18.0,6.0,225.0,105.0,3613.0,16.5,74.0,1.0,plymouth satellite sebring
143,16.0,8.0,302.0,140.0,4141.0,14.0,74.0,1.0,ford gran torino
144,13.0,8.0,350.0,150.0,4699.0,14.5,74.0,1.0,buick century luxus (sw)
145,14.0,8.0,318.0,150.0,4457.0,13.5,74.0,1.0,dodge coronet custom (sw)
146,14.0,8.0,302.0,140.0,4638.0,16.0,74.0,1.0,ford gran torino (sw)
147,14.0,8.0,304.0,150.0,4257.0,15.5,74.0,1.0,amc matador (sw)
148,29.0,4.0,98.0,83.0,2219.0,16.5,74.0,2.0,audi fox
149,26.0,4.0,79.0,67.0,1963.0,15.5,74.0,2.0,volkswagen dasher
150,26.0,4.0,97.0,78.0,2300.0,14.5,74.0,2.0,opel manta
151,31.0,4.0,76.0,52.0,1649.0,16.5,74.0,3.0,toyota corona
152,32.0,4.0,83.0,61.0,2003.0,19.0,74.0,3.0,datsun 710
153,28.0,4.0,90.0,75.0,2125.0,14.5,74.0,1.0,dodge colt
154,24.0,4.0,90.0,75.0,2108.0,15.5,74.0,2.0,fiat 128
155,26.0,4.0,116.0,75.0,2246.0,14.0,74.0,2.0,fiat 124 tc
156,24.0,4.0,120.0,97.0,2489.0,15.0,74.0,3.0,honda civic
157,26.0,4.0,108.0,93.0,2391.0,15.5,74.0,3.0,subaru
158,31.0,4.0,79.0,67.0,2000.0,16.0,74.0,2.0,fiat x1.9
159,19.0,6.0,225.0,95.0,3264.0,16.0,75.0,1.0,plymouth valiant custom
160,18.0,6.0,250.0,105.0,3459.0,16.0,75.0,1.0,chevrolet nova
161,15.0,6.0,250.0,72.0,3432.0,21.0,75.0,1.0,mercury monarch
162,15.0,6.0,250.0,72.0,3158.0,19.5,75.0,1.0,ford maverick
163,16.0,8.0,400.0,170.0,4668.0,11.5,75.0,1.0,pontiac catalina
164,15.0,8.0,350.0,145.0,4440.0,14.0,75.0,1.0,chevrolet bel air
165,16.0,8.0,318.0,150.0,4498.0,14.5,75.0,1.0,plymouth grand fury
166,14.0,8.0,351.0,148.0,4657.0,13.5,75.0,1.0,ford ltd
167,17.0,6.0,231.0,110.0,3907.0,21.0,75.0,1.0,buick century
168,16.0,6.0,250.0,105.0,3897.0,18.5,75.0,1.0,chevroelt chevelle malibu
169,15.0,6.0,258.0,110.0,3730.0,19.0,75.0,1.0,amc matador
170,18.0,6.0,225.0,95.0,3785.0,19.0,75.0,1.0,plymouth fury
171,21.0,6.0,231.0,110.0,3039.0,15.0,75.0,1.0,buick skyhawk
172,20.0,8.0,262.0,110.0,3221.0,13.5,75.0,1.0,chevrolet monza 2+2
173,13.0,8.0,302.0,129.0,3169.0,12.0,75.0,1.0,ford mustang ii
174,29.0,4.0,97.0,75.0,2171.0,16.0,75.0,3.0,toyota corolla
175,23.0,4.0,140.0,83.0,2639.0,17.0,75.0,1.0,ford pinto
176,20.0,6.0,232.0,100.0,2914.0,16.0,75.0,1.0,amc gremlin
177,23.0,4.0,140.0,78.0,2592.0,18.5,75.0,1.0,pontiac astro
178,24.0,4.0,134.0,96.0,2702.0,13.5,75.0,3.0,toyota corona
179,25.0,4.0,90.0,71.0,2223.0,16.5,75.0,2.0,volkswagen dasher
180,24.0,4.0,119.0,97.0,2545.0,17.0,75.0,3.0,datsun 710
181,18.0,6.0,171.0,97.0,2984.0,14.5,75.0,1.0,ford pinto
182,29.0,4.0,90.0,70.0,1937.0,14.0,75.0,2.0,volkswagen rabbit
183,19.0,6.0,232.0,90.0,3211.0,17.0,75.0,1.0,amc pacer
184,23.0,4.0,115.0,95.0,2694.0,15.0,75.0,2.0,audi 100ls
185,23.0,4.0,120.0,88.0,2957.0,17.0,75.0,2.0,peugeot 504
186,22.0,4.0,121.0,98.0,2945.0,14.5,75.0,2.0,volvo 244dl
187,25.0,4.0,121.0,115.0,2671.0,13.5,75.0,2.0,saab 99le
188,33.0,4.0,91.0,53.0,1795.0,17.5,75.0,3.0,honda civic cvcc
189,28.0,4.0,107.0,86.0,2464.0,15.5,76.0,2.0,fiat 131
190,25.0,4.0,116.0,81.0,2220.0,16.9,76.0,2.0,opel 1900
191,25.0,4.0,140.0,92.0,2572.0,14.9,76.0,1.0,capri ii
192,26.0,4.0,98.0,79.0,2255.0,17.7,76.0,1.0,dodge colt
193,27.0,4.0,101.0,83.0,2202.0,15.3,76.0,2.0,renault 12tl
194,17.5,8.0,305.0,140.0,4215.0,13.0,76.0,1.0,chevrolet chevelle malibu classic
195,16.0,8.0,318.0,150.0,4190.0,13.0,76.0,1.0,dodge coronet brougham
196,15.5,8.0,304.0,120.0,3962.0,13.9,76.0,1.0,amc matador
197,14.5,8.0,351.0,152.0,4215.0,12.8,76.0,1.0,ford gran torino
198,22.0,6.0,225.0,100.0,3233.0,15.4,76.0,1.0,plymouth valiant
199,22.0,6.0,250.0,105.0,3353.0,14.5,76.0,1.0,chevrolet nova
200,24.0,6.0,200.0,81.0,3012.0,17.6,76.0,1.0,ford maverick
201,22.5,6.0,232.0,90.0,3085.0,17.6,76.0,1.0,amc hornet
202,29.0,4.0,85.0,52.0,2035.0,22.2,76.0,1.0,chevrolet chevette
